Name,Type,Address,Longitude,Latitude,WGS84_Lng,WGS84_Lat
园博园(地铁站),交通设施服务;地铁站;地铁站,3号线,106.563771,29.674628,106.560065,29.677466
鲤鱼池(地铁站),交通设施服务;地铁站;地铁站,10号线;9号线,106.551742,29.572856,106.548024,29.575702
鱼嘴(地铁站),交通设施服务;地铁站;地铁站,4号线,106.762116,29.623147,106.75811,29.625839
南桥寺(地铁站),交通设施服务;地铁站;地铁站,环线,106.482436,29.590358,106.478533,29.593008
红土地(地铁站),交通设施服务;地铁站;地铁站,10号线;6号线,106.551176,29.584019,106.547456,29.58686
圣泉寺(地铁站),交通设施服务;地铁站;地铁站,(在建)江跳线延伸段;江跳线,106.259645,29.307554,106.255894,29.310396
金童路(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线;3号线,106.567399,29.643318,106.563699,29.646169
重光(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线;5号线,106.530077,29.649028,106.526307,29.651801
鹅岭(地铁站),交通设施服务;地铁站;地铁站,1号线,106.533923,29.547986,106.530169,29.5508
民安大道(地铁站),交通设施服务;地铁站;地铁站,4号线;环线,106.528416,29.608711,106.524645,29.61149
状元碑(地铁站),交通设施服务;地铁站;地铁站,6号线,106.398891,29.803187,106.394857,29.805664
九公里(地铁站),交通设施服务;地铁站;地铁站,3号线,106.559086,29.458466,106.555386,29.461372
牛角沱(地铁站),交通设施服务;地铁站;地铁站,2号线;3号线,106.542605,29.560679,106.53887,29.563509
尖顶坡(地铁站),交通设施服务;地铁站;地铁站,1号线,106.292967,29.607324,106.289154,29.609991
小龙坎(地铁站),交通设施服务;地铁站;地铁站,1号线;9号线,106.468225,29.553697,106.464286,29.556321
曹家湾(地铁站),交通设施服务;地铁站;地铁站,6号线,106.494316,29.721017,106.49044,29.723671
学堂湾(地铁站),交通设施服务;地铁站;地铁站,3号线,106.543121,29.397962,106.539397,29.400867
二郎(地铁站),交通设施服务;地铁站;地铁站,环线,106.462156,29.505032,106.458205,29.50766
化龙桥(地铁站),交通设施服务;地铁站;地铁站,9号线,106.518857,29.549869,106.515063,29.552641
华新街(地铁站),交通设施服务;地铁站;地铁站,3号线,106.537132,29.563956,106.533385,29.566772
烈士墓(地铁站),交通设施服务;地铁站;地铁站,1号线,106.445437,29.567434,106.441447,29.570001
上湾路(地铁站),交通设施服务;地铁站;地铁站,10号线;9号线,106.608952,29.649889,106.605249,29.652756
高庙村(地铁站),交通设施服务;地铁站;地铁站,1号线,106.469211,29.536409,106.465275,29.539042
花溪(地铁站),交通设施服务;地铁站;地铁站,3号线,106.550211,29.432287,106.546499,29.435189
六公里(地铁站),交通设施服务;地铁站;地铁站,3号线,106.573332,29.497788,106.569645,29.500696
陈家坪(地铁站),交通设施服务;地铁站;地铁站,环线,106.489492,29.523876,106.485614,29.526571
工贸(地铁站),交通设施服务;地铁站;地铁站,3号线,106.563399,29.531553,106.559701,29.534434
江北城(地铁站),交通设施服务;地铁站;地铁站,6号线;9号线,106.572066,29.575825,106.568374,29.578702
涂山(地铁站),交通设施服务;地铁站;地铁站,环线,106.600133,29.575955,106.596442,29.578846
杨公桥(地铁站),交通设施服务;地铁站;地铁站,1号线,106.450227,29.561544,106.446246,29.564123
赖家桥(地铁站),交通设施服务;地铁站;地铁站,1号线,106.381441,29.610285,106.377436,29.612807
金山寺(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线二期;6号线,106.492104,29.679292,106.488224,29.681947
双龙(地铁站),交通设施服务;地铁站;地铁站,3号线,106.618788,29.697889,106.615069,29.700739
中央公园西(地铁站),交通设施服务;地铁站;地铁站,10号线;5号线,106.572398,29.722507,106.568697,29.725347
郑家院子(地铁站),交通设施服务;地铁站;地铁站,3号线,106.529943,29.599459,106.526176,29.602245
上浩(地铁站),交通设施服务;地铁站;地铁站,环线,106.593806,29.546484,106.59012,29.549385
玉带山(地铁站),交通设施服务;地铁站;地铁站,4号线;环线,106.475941,29.581062,106.47202,29.583697
红岩村(地铁站),交通设施服务;地铁站;地铁站,5号线;9号线,106.494552,29.551159,106.490687,29.553859
新山村(地铁站),交通设施服务;地铁站;地铁站,2号线,106.476401,29.471978,106.472488,29.474658
曾家岩(地铁站),交通设施服务;地铁站;地铁站,10号线;2号线,106.550123,29.566441,106.546403,29.569286
铜元局(地铁站),交通设施服务;地铁站;地铁站,3号线,106.551562,29.536006,106.547846,29.538865
