Name,Type,Address,Longitude,Latitude
尖顶坡(地铁站),交通设施服务;地铁站;地铁站,1号线,106.292967,29.607324
小龙坎(地铁站),交通设施服务;地铁站;地铁站,1号线;9号线,106.468225,29.553697
曹家湾(地铁站),交通设施服务;地铁站;地铁站,6号线,106.494316,29.721017
学堂湾(地铁站),交通设施服务;地铁站;地铁站,3号线,106.543121,29.397962
二郎(地铁站),交通设施服务;地铁站;地铁站,环线,106.462156,29.505032
化龙桥(地铁站),交通设施服务;地铁站;地铁站,9号线,106.518857,29.549869
华新街(地铁站),交通设施服务;地铁站;地铁站,3号线,106.537132,29.563956
烈士墓(地铁站),交通设施服务;地铁站;地铁站,1号线,106.445437,29.567434
上湾路(地铁站),交通设施服务;地铁站;地铁站,10号线;9号线,106.608952,29.649889
高庙村(地铁站),交通设施服务;地铁站;地铁站,1号线,106.469211,29.536409
花溪(地铁站),交通设施服务;地铁站;地铁站,3号线,106.550211,29.432287
六公里(地铁站),交通设施服务;地铁站;地铁站,3号线,106.573332,29.497788
陈家坪(地铁站),交通设施服务;地铁站;地铁站,环线,106.489492,29.523876
工贸(地铁站),交通设施服务;地铁站;地铁站,3号线,106.563399,29.531553
江北城(地铁站),交通设施服务;地铁站;地铁站,6号线;9号线,106.572066,29.575825
涂山(地铁站),交通设施服务;地铁站;地铁站,环线,106.600133,29.575955
杨公桥(地铁站),交通设施服务;地铁站;地铁站,1号线,106.450227,29.561544
赖家桥(地铁站),交通设施服务;地铁站;地铁站,1号线,106.381441,29.610285
金山寺(地铁站),交通设施服务;地铁站;地铁站,(在建)15号线二期;6号线,106.492104,29.679292
双龙(地铁站),交通设施服务;地铁站;地铁站,3号线,106.618788,29.697889
中央公园西(地铁站),交通设施服务;地铁站;地铁站,10号线;5号线,106.572398,29.722507
郑家院子(地铁站),交通设施服务;地铁站;地铁站,3号线,106.529943,29.599459
上浩(地铁站),交通设施服务;地铁站;地铁站,环线,106.593806,29.546484
玉带山(地铁站),交通设施服务;地铁站;地铁站,4号线;环线,106.475941,29.581062
红岩村(地铁站),交通设施服务;地铁站;地铁站,5号线;9号线,106.494552,29.551159
新山村(地铁站),交通设施服务;地铁站;地铁站,2号线,106.476401,29.471978
曾家岩(地铁站),交通设施服务;地铁站;地铁站,10号线;2号线,106.550123,29.566441
铜元局(地铁站),交通设施服务;地铁站;地铁站,3号线,106.551562,29.536006
莲花(地铁站),交通设施服务;地铁站;地铁站,空港线,106.655893,29.785521
后堡(地铁站),交通设施服务;地铁站;地铁站,10号线,106.569128,29.538516
铜梁西(地铁站),交通设施服务;地铁站;地铁站,璧铜线,106.046015,29.825673
岔路口(地铁站),交通设施服务;地铁站;地铁站,3号线,106.554587,29.448676
八公里(地铁站),交通设施服务;地铁站;地铁站,3号线,106.565862,29.478103
人和(地铁站),交通设施服务;地铁站;地铁站,5号线,106.522248,29.623325
重庆东站(地铁站),交通设施服务;地铁站;地铁站,(在建)24号线;(在建)27号线;6号线东站段,106.672880,29.484474
大渡口(地铁站),交通设施服务;地铁站;地铁站,2号线,106.478209,29.481837
海棠溪(地铁站),交通设施服务;地铁站;地铁站,环线,106.587058,29.534545
金竹(地铁站),交通设施服务;地铁站;地铁站,3号线,106.523885,29.375547
九曲河(地铁站),交通设施服务;地铁站;地铁站,6号线,106.482875,29.653996
渝北广场(地铁站),交通设施服务;地铁站;地铁站,10号线,106.629775,29.718556
李家坪(地铁站),交通设施服务;地铁站;地铁站,9号线,106.521050,29.563702
龙兴(地铁站),交通设施服务;地铁站;地铁站,4号线,106.801778,29.701380
金渝(地铁站),交通设施服务;地铁站;地铁站,3号线,106.570667,29.635366
观月路(地铁站),交通设施服务;地铁站;地铁站,空港线,106.652796,29.774956
青岗坪(地铁站),交通设施服务;地铁站;地铁站,9号线,106.616829,29.660802
石井坡(地铁站),交通设施服务;地铁站;地铁站,1号线,106.444283,29.589415
石坪桥(地铁站),交通设施服务;地铁站;地铁站,18号线,106.506265,29.515675
平安(地铁站),交通设施服务;地铁站;地铁站,2号线,106.485049,29.488733
悦来(地铁站),交通设施服务;地铁站;地铁站,10号线;国博线,106.547955,29.725508
头塘(地铁站),交通设施服务;地铁站;地铁站,4号线;9号线,106.573325,29.608210
翠云(地铁站),交通设施服务;地铁站;地铁站,3号线,106.572709,29.685857
马王场(地铁站),交通设施服务;地铁站;地铁站,2号线,106.488749,29.496091
唐家院子(地铁站),交通设施服务;地铁站;地铁站,3号线,106.540633,29.599152
奥体中心(地铁站),交通设施服务;地铁站;地铁站,18号线;环线,106.502210,29.523446
巴山(地铁站),交通设施服务;地铁站;地铁站,5号线,106.469517,29.520574
刘家台(地铁站),交通设施服务;地铁站;地铁站,9号线,106.563662,29.572813
邱家湾(地铁站),交通设施服务;地铁站;地铁站,6号线,106.649610,29.497915
保税港(地铁站),交通设施服务;地铁站;地铁站,4号线;9号线,106.583686,29.616606
海峡路(地铁站),交通设施服务;地铁站;地铁站,环线,106.546364,29.518395
动物园(地铁站),交通设施服务;地铁站;地铁站,2号线,106.509401,29.500053
幸福广场(地铁站),交通设施服务;地铁站;地铁站,5号线,106.508201,29.616560
华岩寺(地铁站),交通设施服务;地铁站;地铁站,5号线,106.445598,29.493952
佛图关(地铁站),交通设施服务;地铁站;地铁站,2号线,106.531503,29.549345
渝鲁(地铁站),交通设施服务;地铁站;地铁站,环线,106.559835,29.595618
万寿路(地铁站),交通设施服务;地铁站;地铁站,10号线,106.562897,29.523264
中梁山(地铁站),交通设施服务;地铁站;地铁站,5号线,106.446081,29.459250
举人坝(地铁站),交通设施服务;地铁站;地铁站,空港线,106.667441,29.791376
大山村(地铁站),交通设施服务;地铁站;地铁站,3号线,106.543657,29.412858
唐家沱(地铁站),交通设施服务;地铁站;地铁站,4号线,106.659550,29.605374
碧津(地铁站),交通设施服务;地铁站;地铁站,3号线;空港线,106.632644,29.711154
铜梁龙城天街(地铁站),交通设施服务;地铁站;地铁站,璧铜线,106.079252,29.831326
龙溪(地铁站),交通设施服务;地铁站;地铁站,4号线,106.516588,29.589457
天星桥(地铁站),交通设施服务;地铁站;地铁站,环线,106.458834,29.541700
思源(地铁站),交通设施服务;地铁站;地铁站,国博线,106.549258,29.807035
鹿山(地铁站),交通设施服务;地铁站;地铁站,10号线,106.608363,29.720589
体育公园(地铁站),交通设施服务;地铁站;地铁站,环线,106.487642,29.598616
龙头寺公园(地铁站),交通设施服务;地铁站;地铁站,10号线,106.550618,29.598563
南湖(地铁站),交通设施服务;地铁站;地铁站,10号线;环线,106.557155,29.516738
铁山坪(地铁站),交通设施服务;地铁站;地铁站,4号线,106.669502,29.613942
中央公园东(地铁站),交通设施服务;地铁站;地铁站,10号线;9号线,106.592215,29.723646
重庆工商大学(地铁站),交通设施服务;地铁站;地铁站,3号线,106.573876,29.507337
向家岗(地铁站),交通设施服务;地铁站;地铁站,6号线,106.473231,29.739274
上桥(地铁站),交通设施服务;地铁站;地铁站,环线,106.442419,29.517693
黄花园(地铁站),交通设施服务;地铁站;地铁站,2号线,106.564839,29.563396
华岩中心(地铁站),交通设施服务;地铁站;地铁站,5号线,106.440428,29.429159
